incident_id,date_time,zone,incident_type,severity,injuries,fatalities,root_cause,corrective_action,days_to_close
INC-2000,2025-08-21T12:00:00,Zone-D (Workshop),Chemical spill,Medium,0,0,Lack of gas clearance,Revise PTW procedure,26
INC-2001,2025-11-04T13:00:00,Zone-C (Oxygen Plant),H2S exposure,Medium,0,0,Equipment failure,Install additional ventilation,6
INC-2002,2025-09-17T11:00:00,Zone-C (Oxygen Plant),Fall from height,Low,0,0,Untrained personnel,Retrain staff,3
INC-2003,2025-07-02T22:00:00,Zone-B (Blast Furnace),Electrical arc flash,Low,0,0,Inadequate PPE,Revise PTW procedure,4
INC-2004,2025-03-04T11:00:00,Zone-C (Oxygen Plant),Crane overload,Low,0,0,Inadequate PPE,Revise PTW procedure,4
INC-2005,2025-04-01T10:00:00,Zone-D (Workshop),Crane overload,Low,0,0,Communication breakdown,Mandatory PPE audit,17
INC-2006,2025-10-06T13:00:00,Zone-A (Coke Oven),Chemical spill,Low,0,0,Communication breakdown,Retrain staff,20
INC-2007,2025-08-10T11:00:00,Zone-A (Coke Oven),Explosion (near miss),High,3,0,Equipment failure,Retrain staff,24
INC-2008,2025-06-15T17:00:00,Zone-B (Blast Furnace),Electrical arc flash,Medium,0,0,PTW not followed,Upgrade sensors,9
INC-2009,2025-07-25T13:00:00,Zone-B (Blast Furnace),Worker trapped in confined space,Low,0,0,PTW not followed,Install additional ventilation,9
INC-2010,2025-10-15T11:00:00,Zone-A (Coke Oven),Chemical spill,Low,0,0,Inadequate PPE,Upgrade sensors,24
INC-2011,2025-12-05T11:00:00,Zone-B (Blast Furnace),Crane overload,Medium,0,0,Lack of gas clearance,Upgrade sensors,10
INC-2012,2025-01-05T14:00:00,Zone-C (Oxygen Plant),Electrical arc flash,Critical,2,1,Inadequate PPE,Install additional ventilation,27
INC-2013,2025-04-03T22:00:00,Zone-B (Blast Furnace),Crane overload,Medium,0,0,Inadequate PPE,Upgrade sensors,13
INC-2014,2025-08-06T20:00:00,Zone-D (Workshop),Fall from height,Low,0,0,Inadequate PPE,Install additional ventilation,9
INC-2015,2025-09-26T05:00:00,Zone-B (Blast Furnace),H2S exposure,Medium,0,0,PTW not followed,Mandatory PPE audit,1
INC-2016,2025-11-12T03:00:00,Zone-B (Blast Furnace),Crane overload,Critical,2,0,Equipment failure,Install additional ventilation,5
INC-2017,2025-07-26T17:00:00,Zone-B (Blast Furnace),Electrical arc flash,Low,0,0,Equipment failure,Retrain staff,15
INC-2018,2025-11-24T03:00:00,Zone-D (Workshop),H2S exposure,Medium,0,0,Lack of gas clearance,Revise PTW procedure,23
INC-2019,2025-02-28T00:00:00,Zone-B (Blast Furnace),Chemical spill,Low,0,0,PTW not followed,Mandatory PPE audit,2
INC-2020,2025-09-30T19:00:00,Zone-C (Oxygen Plant),Electrical arc flash,Critical,0,0,Lack of gas clearance,Revise PTW procedure,8
INC-2021,2025-12-15T14:00:00,Zone-B (Blast Furnace),Crane overload,High,2,0,Equipment failure,Install additional ventilation,25
INC-2022,2025-12-08T15:00:00,Zone-A (Coke Oven),Crane overload,Low,0,0,Lack of gas clearance,Revise PTW procedure,14
INC-2023,2025-02-28T14:00:00,Zone-B (Blast Furnace),Chemical spill,Low,0,0,Inadequate PPE,Revise PTW procedure,15
INC-2024,2025-05-22T05:00:00,Zone-C (Oxygen Plant),Crane overload,Medium,0,0,Lack of gas clearance,Install additional ventilation,24
INC-2025,2025-11-05T20:00:00,Zone-C (Oxygen Plant),Gas leak detected,Medium,0,0,Untrained personnel,Retrain staff,1
INC-2026,2025-08-23T04:00:00,Zone-B (Blast Furnace),Fall from height,Medium,0,0,Communication breakdown,Upgrade sensors,18
INC-2027,2025-04-20T07:00:00,Zone-D (Workshop),Crane overload,Medium,0,0,PTW not followed,Install additional ventilation,21
INC-2028,2025-05-06T22:00:00,Zone-D (Workshop),Electrical arc flash,Low,0,0,Lack of gas clearance,Mandatory PPE audit,29
INC-2029,2025-05-15T16:00:00,Zone-D (Workshop),Electrical arc flash,Medium,0,0,Lack of gas clearance,Upgrade sensors,7
INC-2030,2025-07-10T00:00:00,Zone-A (Coke Oven),Worker trapped in confined space,High,1,0,Inadequate PPE,Revise PTW procedure,7
INC-2031,2025-11-09T08:00:00,Zone-D (Workshop),H2S exposure,Low,0,0,Untrained personnel,Revise PTW procedure,20
INC-2032,2025-09-23T07:00:00,Zone-A (Coke Oven),Chemical spill,Medium,0,0,Inadequate PPE,Install additional ventilation,20
INC-2033,2025-04-28T18:00:00,Zone-C (Oxygen Plant),Worker trapped in confined space,High,1,0,Inadequate PPE,Retrain staff,8
INC-2034,2025-07-28T11:00:00,Zone-C (Oxygen Plant),Equipment fire,Low,0,0,Communication breakdown,Install additional ventilation,14
INC-2035,2025-04-05T02:00:00,Zone-D (Workshop),Equipment fire,Medium,0,0,Equipment failure,Mandatory PPE audit,23
INC-2036,2025-04-29T06:00:00,Zone-D (Workshop),Explosion (near miss),Medium,0,0,PTW not followed,Upgrade sensors,11
INC-2037,2025-11-04T21:00:00,Zone-C (Oxygen Plant),Gas leak detected,Medium,0,0,Equipment failure,Upgrade sensors,7
INC-2038,2025-09-20T02:00:00,Zone-D (Workshop),Electrical arc flash,Critical,3,1,Untrained personnel,Install additional ventilation,16
INC-2039,2025-04-25T04:00:00,Zone-A (Coke Oven),Fall from height,Low,0,0,Inadequate PPE,Retrain staff,9
INC-2040,2025-06-03T11:00:00,Zone-B (Blast Furnace),Crane overload,Medium,0,0,Communication breakdown,Install additional ventilation,18
INC-2041,2025-12-15T17:00:00,Zone-A (Coke Oven),Explosion (near miss),Low,0,0,Communication breakdown,Revise PTW procedure,18
INC-2042,2025-01-29T09:00:00,Zone-D (Workshop),H2S exposure,High,1,0,Equipment failure,Retrain staff,24
INC-2043,2025-06-18T23:00:00,Zone-A (Coke Oven),Crane overload,Low,0,0,Inadequate PPE,Revise PTW procedure,28
INC-2044,2025-03-01T09:00:00,Zone-A (Coke Oven),Fall from height,Medium,0,0,PTW not followed,Mandatory PPE audit,23
INC-2045,2025-08-28T08:00:00,Zone-D (Workshop),Equipment fire,High,1,0,PTW not followed,Upgrade sensors,26
INC-2046,2025-02-10T12:00:00,Zone-C (Oxygen Plant),H2S exposure,Medium,0,0,PTW not followed,Revise PTW procedure,23
INC-2047,2025-07-19T18:00:00,Zone-C (Oxygen Plant),H2S exposure,Low,0,0,Untrained personnel,Retrain staff,5
INC-2048,2025-10-08T23:00:00,Zone-C (Oxygen Plant),Equipment fire,Critical,1,0,PTW not followed,Revise PTW procedure,27
INC-2049,2025-06-18T23:00:00,Zone-D (Workshop),Crane overload,High,1,0,Communication breakdown,Revise PTW procedure,21
INC-2050,2025-10-10T18:00:00,Zone-A (Coke Oven),Worker trapped in confined space,Medium,0,0,Equipment failure,Mandatory PPE audit,24
INC-2051,2025-07-09T22:00:00,Zone-C (Oxygen Plant),Crane overload,Medium,0,0,Equipment failure,Revise PTW procedure,19
INC-2052,2025-01-02T16:00:00,Zone-A (Coke Oven),Crane overload,High,2,0,Lack of gas clearance,Mandatory PPE audit,13
INC-2053,2025-05-29T16:00:00,Zone-B (Blast Furnace),Crane overload,Critical,2,1,Inadequate PPE,Revise PTW procedure,18
INC-2054,2025-03-31T03:00:00,Zone-D (Workshop),Chemical spill,Medium,0,0,Untrained personnel,Retrain staff,2
INC-2055,2025-03-09T23:00:00,Zone-D (Workshop),Gas leak detected,Medium,0,0,Lack of gas clearance,Upgrade sensors,15
INC-2056,2025-11-08T15:00:00,Zone-D (Workshop),Fall from height,Low,0,0,Untrained personnel,Upgrade sensors,29
INC-2057,2025-07-26T01:00:00,Zone-C (Oxygen Plant),Worker trapped in confined space,Low,0,0,Untrained personnel,Revise PTW procedure,9
INC-2058,2025-02-26T06:00:00,Zone-B (Blast Furnace),Gas leak detected,Medium,0,0,Equipment failure,Revise PTW procedure,24
INC-2059,2025-06-09T20:00:00,Zone-A (Coke Oven),Worker trapped in confined space,Medium,0,0,Lack of gas clearance,Upgrade sensors,16
INC-2060,2025-02-23T04:00:00,Zone-B (Blast Furnace),H2S exposure,Low,0,0,Untrained personnel,Install additional ventilation,1
INC-2061,2025-01-06T12:00:00,Zone-A (Coke Oven),Electrical arc flash,Medium,0,0,Untrained personnel,Upgrade sensors,16
INC-2062,2025-02-18T08:00:00,Zone-A (Coke Oven),Worker trapped in confined space,Low,0,0,Lack of gas clearance,Revise PTW procedure,12
INC-2063,2025-07-24T06:00:00,Zone-B (Blast Furnace),Equipment fire,Low,0,0,Lack of gas clearance,Mandatory PPE audit,19
INC-2064,2025-01-06T18:00:00,Zone-B (Blast Furnace),Crane overload,Medium,0,0,Inadequate PPE,Upgrade sensors,21
INC-2065,2025-04-14T08:00:00,Zone-D (Workshop),Fall from height,Critical,0,0,PTW not followed,Retrain staff,19
INC-2066,2025-09-20T03:00:00,Zone-D (Workshop),Chemical spill,Medium,0,0,PTW not followed,Upgrade sensors,9
INC-2067,2025-02-27T12:00:00,Zone-C (Oxygen Plant),Gas leak detected,Low,0,0,Untrained personnel,Revise PTW procedure,7
INC-2068,2025-12-20T10:00:00,Zone-B (Blast Furnace),Electrical arc flash,Medium,0,0,Inadequate PPE,Retrain staff,26
INC-2069,2025-06-13T09:00:00,Zone-A (Coke Oven),Fall from height,Medium,0,0,Equipment failure,Mandatory PPE audit,3
INC-2070,2025-12-27T15:00:00,Zone-A (Coke Oven),Chemical spill,High,2,0,PTW not followed,Install additional ventilation,28
INC-2071,2025-10-15T07:00:00,Zone-B (Blast Furnace),Crane overload,Medium,0,0,Lack of gas clearance,Retrain staff,19
INC-2072,2025-02-16T02:00:00,Zone-B (Blast Furnace),Gas leak detected,Low,0,0,Lack of gas clearance,Install additional ventilation,17
INC-2073,2025-07-15T13:00:00,Zone-D (Workshop),Electrical arc flash,Medium,0,0,Untrained personnel,Install additional ventilation,3
INC-2074,2025-04-15T05:00:00,Zone-C (Oxygen Plant),Worker trapped in confined space,Low,0,0,Communication breakdown,Upgrade sensors,26
INC-2075,2025-04-17T01:00:00,Zone-D (Workshop),Worker trapped in confined space,Medium,0,0,Inadequate PPE,Install additional ventilation,24
INC-2076,2025-06-12T21:00:00,Zone-A (Coke Oven),Electrical arc flash,Low,0,0,Lack of gas clearance,Install additional ventilation,20
INC-2077,2025-02-07T13:00:00,Zone-B (Blast Furnace),Worker trapped in confined space,Medium,0,0,Lack of gas clearance,Upgrade sensors,23
INC-2078,2025-01-08T17:00:00,Zone-C (Oxygen Plant),H2S exposure,Low,0,0,Communication breakdown,Revise PTW procedure,6
INC-2079,2025-09-11T20:00:00,Zone-C (Oxygen Plant),Worker trapped in confined space,Low,0,0,Lack of gas clearance,Revise PTW procedure,26
INC-2080,2025-10-21T02:00:00,Zone-A (Coke Oven),Explosion (near miss),Low,0,0,Untrained personnel,Mandatory PPE audit,21
INC-2081,2025-02-22T14:00:00,Zone-C (Oxygen Plant),Gas leak detected,Medium,0,0,Equipment failure,Mandatory PPE audit,6
INC-2082,2025-09-09T00:00:00,Zone-A (Coke Oven),Worker trapped in confined space,Low,0,0,PTW not followed,Mandatory PPE audit,1
INC-2083,2025-01-31T01:00:00,Zone-A (Coke Oven),Fall from height,High,0,0,Equipment failure,Revise PTW procedure,13
INC-2084,2025-04-13T10:00:00,Zone-A (Coke Oven),H2S exposure,Low,0,0,Untrained personnel,Install additional ventilation,8
INC-2085,2025-08-08T16:00:00,Zone-C (Oxygen Plant),Explosion (near miss),Low,0,0,Lack of gas clearance,Mandatory PPE audit,12
INC-2086,2025-03-23T12:00:00,Zone-A (Coke Oven),Equipment fire,Medium,0,0,PTW not followed,Mandatory PPE audit,2
INC-2087,2025-10-01T16:00:00,Zone-D (Workshop),Explosion (near miss),Low,0,0,Inadequate PPE,Revise PTW procedure,3
INC-2088,2025-11-08T19:00:00,Zone-B (Blast Furnace),Explosion (near miss),Low,0,0,Communication breakdown,Revise PTW procedure,24
INC-2089,2025-06-15T14:00:00,Zone-D (Workshop),Fall from height,Medium,0,0,Untrained personnel,Mandatory PPE audit,25
INC-2090,2025-06-17T08:00:00,Zone-D (Workshop),Gas leak detected,Low,0,0,PTW not followed,Mandatory PPE audit,12
INC-2091,2025-01-07T13:00:00,Zone-A (Coke Oven),Electrical arc flash,Critical,2,0,PTW not followed,Mandatory PPE audit,8
INC-2092,2025-10-14T14:00:00,Zone-A (Coke Oven),Equipment fire,Medium,0,0,Untrained personnel,Revise PTW procedure,3
INC-2093,2025-01-30T23:00:00,Zone-D (Workshop),Chemical spill,Critical,3,0,Communication breakdown,Retrain staff,17
INC-2094,2025-04-02T03:00:00,Zone-D (Workshop),Worker trapped in confined space,Medium,0,0,Communication breakdown,Mandatory PPE audit,2
INC-2095,2025-10-24T22:00:00,Zone-B (Blast Furnace),Fall from height,Medium,0,0,Inadequate PPE,Revise PTW procedure,28
INC-2096,2025-08-04T01:00:00,Zone-D (Workshop),Chemical spill,Critical,2,1,Inadequate PPE,Upgrade sensors,3
INC-2097,2025-05-19T09:00:00,Zone-A (Coke Oven),Equipment fire,Low,0,0,Lack of gas clearance,Upgrade sensors,15
INC-2098,2025-11-15T03:00:00,Zone-A (Coke Oven),H2S exposure,Medium,0,0,Inadequate PPE,Upgrade sensors,15
INC-2099,2025-07-30T11:00:00,Zone-A (Coke Oven),Worker trapped in confined space,Medium,0,0,PTW not followed,Revise PTW procedure,27
INC-2100,2025-01-28T12:00:00,Zone-C (Oxygen Plant),Equipment fire,Low,0,0,Lack of gas clearance,Upgrade sensors,12
INC-2101,2025-09-28T12:00:00,Zone-C (Oxygen Plant),Explosion (near miss),Medium,0,0,PTW not followed,Retrain staff,13
INC-2102,2025-11-05T16:00:00,Zone-B (Blast Furnace),Worker trapped in confined space,Medium,0,0,Equipment failure,Retrain staff,26
INC-2103,2025-04-06T10:00:00,Zone-A (Coke Oven),Fall from height,Low,0,0,PTW not followed,Upgrade sensors,27
INC-2104,2025-10-01T11:00:00,Zone-A (Coke Oven),Explosion (near miss),Medium,0,0,Lack of gas clearance,Retrain staff,3
INC-2105,2025-05-15T23:00:00,Zone-D (Workshop),Equipment fire,Critical,0,1,Lack of gas clearance,Retrain staff,15
INC-2106,2025-02-04T13:00:00,Zone-D (Workshop),Electrical arc flash,Low,0,0,Equipment failure,Retrain staff,13
INC-2107,2025-10-19T06:00:00,Zone-B (Blast Furnace),Equipment fire,Low,0,0,Inadequate PPE,Revise PTW procedure,15
INC-2108,2025-04-12T11:00:00,Zone-B (Blast Furnace),Explosion (near miss),Low,0,0,Equipment failure,Install additional ventilation,29
INC-2109,2025-11-24T00:00:00,Zone-C (Oxygen Plant),Electrical arc flash,Low,0,0,PTW not followed,Install additional ventilation,7
INC-2110,2025-12-25T22:00:00,Zone-A (Coke Oven),Electrical arc flash,Low,0,0,Untrained personnel,Revise PTW procedure,16
INC-2111,2025-11-27T20:00:00,Zone-C (Oxygen Plant),Electrical arc flash,Medium,0,0,Inadequate PPE,Upgrade sensors,1
INC-2112,2025-08-06T16:00:00,Zone-A (Coke Oven),Explosion (near miss),Medium,0,0,Lack of gas clearance,Install additional ventilation,17
INC-2113,2025-09-02T00:00:00,Zone-B (Blast Furnace),Equipment fire,High,0,0,PTW not followed,Upgrade sensors,9
INC-2114,2025-12-31T07:00:00,Zone-A (Coke Oven),Fall from height,High,3,0,Inadequate PPE,Upgrade sensors,6
INC-2115,2025-06-11T11:00:00,Zone-C (Oxygen Plant),Gas leak detected,Medium,0,0,Untrained personnel,Revise PTW procedure,19
INC-2116,2025-04-08T00:00:00,Zone-B (Blast Furnace),Crane overload,Medium,0,0,Communication breakdown,Revise PTW procedure,6
INC-2117,2025-12-01T19:00:00,Zone-A (Coke Oven),Fall from height,Low,0,0,Communication breakdown,Upgrade sensors,1
INC-2118,2025-12-26T09:00:00,Zone-C (Oxygen Plant),Fall from height,Medium,0,0,PTW not followed,Revise PTW procedure,23
INC-2119,2025-05-02T03:00:00,Zone-C (Oxygen Plant),Gas leak detected,Critical,0,0,Communication breakdown,Upgrade sensors,25
